# t/ns;T1/us;T2/us;T3/us
72513;8897;15566;13170
72603;8912;15548;13150
72694;8813;15575;13180
72784;8924;15527;13180
72874;8729;15527;13530
72965;8828;15458;13260
73055;8843;15581;13260
73147;8843;15518;13470
73238;8894;15458;13210
73331;8870;15503;13210
73426;8888;15656;13280
73520;8891;15656;13280
73613;8918;15521;13450
73706;8852;15521;13190
73798;8852;15476;13140
73890;8864;15575;13250
73981;8921;15650;13250
74072;8834;15578;13110
74163;8834;15524;13380
74254;8957;15407;13550
74344;8924;15440;13110
74437;8957;15440;13360
74527;8402;15422;13380
74618;8354;15263;12880
74708;8351;15224;12990
74799;8351;15209;12740
74890;8417;15260;12740
74980;8423;15281;12880
75070;8396;15272;12820
75161;8387;15353;12810
75251;8372;15236;13030
75342;8375;15245;13030
75434;8429;15326;12910
75524;8417;15407;12960
75614;8414;15287;12870
75705;8369;15263;12870
75795;8372;15353;12820
75885;8372;15335;12770
75976;8384;15164;12770
76066;8429;15233;12870
76157;8408;15137;12860
76247;8399;15308;12860
76337;8336;15179;12830
76429;8357;15218;12830
76519;8348;15206;12850
76609;8363;15263;12860
76699;8342;15227;12970
76790;8375;15326;13120
76880;8330;15191;12960
76971;8339;15305;12890
77061;8339;15281;12880
77151;8354;15182;12980
77242;8354;15281;12800
77333;8399;15083;12850
77426;8408;15254;12870
77516;8360;15263;13050
77606;8387;15137;12830
77697;8411;15236;12820
77788;8387;15152;12820
77878;8339;15254;13110
77968;8378;15272;12810
78059;8387;15188;12810
78150;8387;15290;13070
78242;8303;15173;12740
78335;8414;15269;12740
78440;8339;15353;12990
78531;8339;15314;12860
78622;8378;15233;12950
78713;8375;15341;12950
78804;8357;15299;12990
78894;8342;15146;12990
78985;8384;15335;12920
79075;8363;15170;12740
79166;8333;15311;12740
79256;8342;15164;12810
79347;8363;15137;12950
79439;8417;15125;12970
79529;8372;15233;12970
79619;8363;15245;12910
79709;8393;15245;13090
79799;8336;15143;13070
79890;8312;15242;12920
79981;8363;15152;12760
80071;8330;15188;12760
80162;8366;15251;12840
80252;8384;15203;12840
80342;8345;15236;12890
80434;8381;15272;12820
80524;8354;15326;12900
80614;8315;15296;12910
80704;8402;15224;12950
80795;8408;15206;12950
80885;8360;15101;12830
80975;8390;15227;12830
81066;8369;15233;12920
81156;8327;15305;12920
81247;8396;15152;12670
81337;8342;15152;12930
81429;8375;15296;12930
81519;8390;15323;12840
81611;8381;15290;12820
81702;8336;15251;12750
81794;8384;15125;12750
81888;8387;15209;12610
81981;8381;15236;12940
82075;8417;15332;12940
82168;8369;15224;13120
82261;8330;15227;12860
82352;8318;15098;12800
82445;8351;15281;12800
82537;8369;15233;12800
82628;8345;15242;12930
82719;8348;15242;12860
82810;8366;15245;12860
82901;8342;15215;12730
82992;8381;15317;12730
83083;8387;15173;13000
83173;8381;15269;13000
83264;8363;15272;12930
83354;8360;15137;12980
83446;8366;15242;12890
83537;8360;15296;12890
83627;8372;15317;12780
83717;8381;15179;12780
83807;8354;15191;12900
83898;8390;15263;12850
83988;8294;15251;12850
84079;8396;15191;12920
84169;8399;15242;12920
84259;8318;15341;12870
84350;8342;15296;12810
84442;8327;15272;12810
84532;8384;15263;12890
84622;8303;15245;12870
84713;8327;15233;13010
84803;8300;15296;13060
84893;8396;15242;12650
84983;8327;15215;12860
85073;8387;15326;12970
85164;8432;15218;12780
85254;8390;15287;13090
85344;8312;15398;12820
85434;8312;15311;12780
85525;8426;15254;12850
85615;8384;15200;12850
85705;8414;15362;12900
85796;8381;15335;12900
85887;8390;15341;12860
85978;8411;15353;12950
86070;8441;15278;12760
86164;8390;15395;12820
86257;8387;15215;12950
86351;8387;15353;12950
86447;8351;15278;12860
86539;8324;15179;12890
86631;8318;15254;12850
86722;8369;15263;12970
86813;8342;15251;12740
86904;8384;15215;12740
86995;8300;15173;12820
87085;8366;15341;12770
87176;8354;15215;12770
87267;8354;15278;12830
87359;8387;15305;12950
87449;8405;15326;13030
87540;8414;15236;12840
87631;8402;15290;12840
87721;8357;15209;12830
87811;8378;15326;13060
87902;8438;15296;12910
87992;8411;15260;12880
88082;8375;15323;12880
88173;8417;15344;12810
88263;8411;15164;12810
88353;8399;15164;13040
88446;8402;15389;13040
88536;8399;15197;13080
88626;8405;15305;12920
88716;8369;15245;12830
88807;8366;15323;12830
88897;8390;15272;12910
88987;8387;15296;12850
89077;8351;15200;12810
